Player,Team1,Pos,Salary,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Arbitration Eligible
Heston Kjerstad,BAL,DH,720000.00,25,13,30,3,7,1,0,2,3,0,0,2,10,0,0,0,0.233,0.281,0.467,0.748,0
Jacob Amaya,MIA,SS,720000.00,25,4,9,1,2,0,0,0,2,1,0,0,1,0,0,0,0.222,0.222,0.222,0.444,0
Jahmai Jones,MIL,DH,720000.00,26,7,10,2,2,1,0,0,3,1,0,1,5,0,0,0,0.2,0.273,0.3,0.573,0
Jared Triolo,PIT,3B,720000.00,26,54,181,30,54,9,0,3,21,6,1,24,63,0,1,3,0.298,0.388,0.398,0.786,0
Jared Walsh,LAA,1B,720000.00,30,39,104,10,13,4,0,4,11,0,0,11,45,0,0,1,0.125,0.216,0.279,0.495,0
Jean Segura,MIA,3B,720000.00,34,85,301,25,66,5,2,3,21,6,2,22,47,1,0,2,0.219,0.277,0.279,0.556,0
Jesus Sanchez,MIA,OF,720000.00,26,125,360,43,91,23,3,14,52,3,1,38,107,1,1,2,0.253,0.327,0.45,0.777,0
Jeter Downs,WAS,SS,720000.00,25,6,5,4,2,0,0,0,1,2,0,4,1,0,0,0,0.4,0.667,0.4,1.067,0
Ji Hwan Bae,PIT,OF,720000.00,24,111,334,54,77,17,2,2,32,24,9,30,92,3,2,2,0.231,0.296,0.311,0.607,0
Joey Wiemer,MIL,OF,720000.00,25,132,367,48,75,19,0,13,42,11,4,36,116,0,2,5,0.204,0.283,0.362,0.645,0
Johan Rojas,PHI,OF,720000.00,23,59,149,24,45,9,2,2,23,14,1,5,42,6,0,4,0.302,0.342,0.43,0.772,0
Jonathan Ornelas,TEX,SS,720000.00,23,8,7,2,1,0,0,0,0,0,0,0,4,0,0,1,0.143,0.25,0.143,0.393,0
Jonny DeLuca,LAD,OF,720000.00,25,24,42,5,11,1,0,2,6,1,0,3,8,0,0,0,0.262,0.311,0.429,0.74,0
Jordan Diaz,OAK,2B,720000.00,23,90,272,20,60,9,0,10,27,0,1,17,69,0,1,3,0.221,0.273,0.364,0.637,0
Jordan Lawlar,ARI,SS,720000.00,21,14,31,2,4,0,0,0,0,1,1,2,11,0,0,1,0.129,0.206,0.129,0.335,0
Jose Tena,CLE,SS,720000.00,23,18,31,2,7,2,0,0,3,0,0,3,13,0,0,0,0.226,0.294,0.29,0.584,0
Kevin Newman,CIN,SS,720000.00,30,74,225,28,57,16,0,3,28,8,1,17,34,2,5,4,0.253,0.311,0.364,0.675,0
Kyren Paris,LAA,SS,720000.00,22,15,40,4,4,0,0,0,1,3,0,4,17,1,0,1,0.1,0.2,0.1,0.3,0
Liover Peguero,PIT,SS,720000.00,23,59,198,21,47,4,1,7,26,6,2,11,67,2,1,1,0.237,0.28,0.374,0.654,0
Livan Soto,LAA,SS,720000.00,23,4,9,2,2,0,0,0,0,0,0,3,2,0,0,0,0.222,0.417,0.222,0.639,0
Luis Robert,CWS,OF,720000.00,26,145,546,90,144,36,1,38,80,20,4,30,172,0,2,12,0.264,0.315,0.542,0.857,0
Luken Baker,STL,DH,720000.00,27,33,86,9,18,3,0,2,10,0,0,13,31,0,0,0,0.209,0.313,0.314,0.627,0
Marco Luciano,SF,SS,720000.00,22,14,39,4,9,3,0,0,0,1,0,6,17,0,0,0,0.231,0.333,0.308,0.641,0
Michael Busch,LAD,3B,720000.00,26,27,72,9,12,3,0,2,7,1,0,8,27,0,1,0,0.167,0.247,0.292,0.539,0
Michael Harris,ATL,OF,720000.00,23,138,505,76,148,33,3,18,57,20,4,25,101,1,3,5,0.293,0.331,0.477,0.808,0
Mike Siani,STL,OF,720000.00,24,8,5,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0.167,0,0.167,0
Nathaniel Lowe,TEX,1B,720000.00,28,161,623,89,163,38,3,17,82,1,0,93,165,0,3,5,0.262,0.36,0.414,0.774,0
Nick Ahmed,ARI,SS,720000.00,34,72,198,14,42,10,1,2,17,5,1,12,52,0,0,0,0.212,0.257,0.303,0.56,0
Oscar Colas,CWS,OF,720000.00,25,75,245,32,53,9,0,5,19,4,3,12,71,2,2,2,0.216,0.257,0.314,0.571,0
Owen Miller,MIL,2B,720000.00,27,90,291,29,76,17,0,5,27,13,2,17,61,0,4,2,0.261,0.303,0.371,0.674,0
Paul DeJong,TOR,SS,720000.00,30,112,372,41,77,13,0,14,38,4,4,21,121,0,2,5,0.207,0.258,0.355,0.612,0
Raimel Tapia,TB,OF,720000.00,30,64,148,28,35,4,1,3,13,10,2,17,40,1,1,1,0.237,0.317,0.338,0.655,0
Rene Pinto,TB,C,720000.00,27,39,103,10,26,3,0,6,16,0,0,2,34,0,0,0,0.252,0.267,0.456,0.723,0
Richie Palacios,STL,OF,720000.00,26,32,93,9,24,6,0,6,16,2,0,6,11,1,1,1,0.258,0.307,0.516,0.823,0
Ronny Mauricio,NYM,2B,720000.00,22,26,101,11,25,4,0,2,9,7,0,7,31,0,0,0,0.248,0.296,0.347,0.643,0
Rougned Odor,SD,2B,720000.00,30,59,138,21,28,9,0,4,18,2,1,17,37,0,0,2,0.203,0.299,0.355,0.654,0
Ryan McKenna,BAL,OF,720000.00,27,89,122,23,31,7,0,2,18,5,0,9,40,3,2,3,0.254,0.316,0.361,0.677,0
Ryan Noda,OAK,1B,720000.00,27,128,406,63,93,22,1,16,54,3,1,77,170,0,2,10,0.229,0.364,0.406,0.77,0
Rylan Bannon,HOU,3B,720000.00,27,2,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Tyler Fitzgerald,SF,OF,720000.00,26,10,32,3,7,2,0,2,5,2,0,2,10,0,0,0,0.219,0.265,0.469,0.734,0
Tyler Nevin,DET,3B,720000.00,26,41,95,11,19,3,1,2,10,0,1,12,25,0,1,3,0.2,0.306,0.316,0.622,0
Tyler Stephenson,CIN,C,720000.00,27,142,465,59,113,20,2,13,56,0,1,47,135,0,1,4,0.243,0.317,0.378,0.695,0
Vaughn Grissom,ATL,SS,720000.00,23,23,75,5,21,3,1,0,9,0,1,2,15,0,1,2,0.28,0.313,0.347,0.66,0
Victor Caratini,MIL,C,720000.00,30,62,201,23,52,4,0,7,25,1,1,19,45,0,3,3,0.259,0.327,0.383,0.71,0
Wade Meckler,SF,OF,720000.00,23,20,56,6,13,1,0,0,4,0,0,6,25,0,0,2,0.232,0.328,0.25,0.578,0
Wander Franco,TB,SS,720000.00,23,112,442,65,124,23,6,17,58,30,10,42,69,0,4,3,0.281,0.344,0.475,0.819,0
Whit Merrifield,TOR,2B,720000.00,35,145,547,66,149,27,0,11,67,26,10,36,101,0,6,3,0.272,0.318,0.382,0.7,0
Will Smith,LAD,C,720000.00,28,126,464,80,121,21,2,19,76,3,0,63,89,0,12,15,0.261,0.359,0.438,0.797,1
Willie Calhoun,NYY,OF,720000.00,29,44,134,16,32,7,0,5,16,0,0,14,20,0,1,0,0.239,0.309,0.403,0.712,0
Willy Adames,MIL,SS,720000.00,28,149,553,73,120,29,2,24,80,5,3,71,165,0,6,6,0.217,0.31,0.407,0.717,1
Xander Bogaerts,SD,SS,720000.00,31,155,596,83,170,31,2,19,58,19,2,56,110,0,6,7,0.285,0.35,0.44,0.79,0
Yan Gomes,CHC,C,720000.00,36,116,382,44,102,20,2,10,63,1,0,21,81,0,7,9,0.267,0.315,0.408,0.723,0
Yoan Moncada,CWS,3B,720000.00,28,92,334,39,87,20,1,11,40,1,0,20,107,0,1,2,0.26,0.305,0.425,0.73,0
