Player,Team1,Pos,Salary,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Arbitration Eligible
Matt Vierling,DET,OF,727100.00,27,134,479,63,125,21,5,10,44,6,6,44,112,1,1,5,0.261,0.329,0.388,0.717,0
Royce Lewis,MIN,3B,727100.00,24,58,217,36,67,7,0,15,52,6,1,20,55,0,0,2,0.309,0.372,0.548,0.92,0
Nolan Gorman,STL,2B,726950.00,23,119,406,59,96,17,0,27,76,7,2,53,148,0,2,3,0.236,0.328,0.478,0.806,0
Sam Haggerty,SEA,OF,726600.00,29,52,91,13,23,3,1,1,5,10,1,15,17,1,0,1,0.253,0.364,0.341,0.705,0
MJ Melendez,KC,OF,726500.00,25,148,533,65,125,29,5,16,56,6,4,62,170,0,4,3,0.235,0.316,0.398,0.714,0
Jake Rogers,DET,C,726000.00,28,107,331,47,73,11,0,21,49,1,1,28,118,1,2,3,0.221,0.286,0.444,0.73,0
Brent Rooker,OAK,OF,725000.00,29,137,463,61,114,20,1,30,69,4,0,49,172,0,4,10,0.246,0.329,0.488,0.817,0
Jack Suwinski,PIT,OF,725000.00,25,144,447,63,100,21,2,26,74,13,2,75,172,0,6,6,0.224,0.339,0.454,0.793,0
Garrett Mitchell,MIL,OF,724300.00,25,19,65,10,16,2,1,3,7,1,1,7,26,0,1,0,0.246,0.315,0.446,0.761,0
CJ Abrams,WAS,SS,724200.00,23,151,563,83,138,28,6,18,64,47,4,32,118,3,3,13,0.245,0.3,0.412,0.712,0
Ezequiel Duran,TEX,SS,724170.00,24,122,406,55,112,22,2,14,46,8,4,23,120,1,2,7,0.276,0.324,0.443,0.767,0
Bubba Thompson,TEX,OF,724000.00,25,37,53,10,9,4,1,0,4,4,2,4,16,1,1,1,0.17,0.237,0.283,0.52,0
Jose Azocar,SD,OF,723700.00,27,55,91,16,21,6,0,2,9,8,2,4,24,5,0,2,0.231,0.278,0.363,0.641,0
Kerry Carpenter,DET,OF,723700.00,26,118,418,57,116,17,2,20,64,6,0,32,115,0,1,8,0.278,0.34,0.471,0.811,0
Joey Meneses,WAS,DH,723300.00,31,154,611,71,168,36,1,13,89,0,0,38,130,0,3,5,0.275,0.321,0.401,0.722,0
Gunnar Henderson,BAL,SS,723200.00,22,150,560,100,143,29,9,28,82,10,3,56,159,0,3,3,0.255,0.325,0.489,0.814,0
Josh Lowe,TB,OF,723200.00,26,135,466,71,136,33,2,20,83,32,3,31,124,0,3,1,0.292,0.335,0.5,0.835,0
Spencer Torkelson,DET,1B,723100.00,24,159,606,88,141,34,1,31,94,3,0,67,171,0,5,6,0.233,0.313,0.446,0.759,0
Romy Gonzalez,CWS,2B,723000.00,27,44,93,11,18,4,2,3,14,7,0,2,36,1,1,0,0.194,0.208,0.376,0.584,0
Michael Massey,KC,2B,722850.00,25,129,428,42,98,18,1,15,55,6,2,24,99,1,4,4,0.229,0.274,0.381,0.655,0
Luis Campusano,SD,C,722700.00,25,49,163,27,52,7,0,7,30,0,0,7,21,0,1,3,0.319,0.356,0.491,0.847,0
Oscar Gonzalez,CLE,OF,722600.00,26,54,173,15,37,7,2,2,12,0,0,5,46,0,1,1,0.214,0.239,0.312,0.551,0
Gabriel Moreno,ARI,C,722500.00,24,111,341,33,97,19,1,7,50,6,2,29,75,0,7,3,0.284,0.339,0.408,0.747,0
James Outman,LAD,OF,722500.00,26,151,483,86,120,16,3,23,70,16,3,68,181,0,4,12,0.248,0.353,0.437,0.79,0
Stuart Fairchild,CIN,OF,722500.00,28,97,219,34,50,16,2,5,28,10,3,25,69,3,2,6,0.228,0.321,0.388,0.709,0
Drew Waters,KC,OF,722400.00,25,98,302,40,69,11,5,8,32,16,5,27,107,0,3,5,0.228,0.3,0.377,0.677,0
Luke Raley,TB,OF,722300.00,29,118,357,56,89,23,3,19,49,14,3,28,128,1,2,18,0.249,0.333,0.49,0.823,0
Terrin Vavra,BAL,2B,722100.00,26,27,49,9,12,0,0,0,5,1,0,5,12,2,0,0,0.245,0.315,0.245,0.56,0
Alan Trejo,COL,SS,722000.00,27,83,207,24,48,11,0,4,26,5,1,16,51,1,2,1,0.232,0.288,0.343,0.631,0
Connor Wong,BOS,C,722000.00,27,126,371,55,87,25,2,9,36,8,2,22,134,3,1,6,0.235,0.288,0.385,0.673,0
Elehuris Montero,COL,3B,722000.00,25,85,284,40,69,15,2,11,39,0,0,15,111,0,3,5,0.243,0.29,0.426,0.716,0
Ezequiel Tovar,COL,SS,722000.00,22,153,581,79,147,37,4,15,73,11,5,25,166,2,3,4,0.253,0.287,0.408,0.695,0
Sean Bouchard,COL,OF,722000.00,27,21,38,11,12,2,0,4,7,0,1,4,14,0,1,0,0.316,0.372,0.684,1.056,0
Alex Call,WAS,OF,721800.00,29,128,375,43,75,14,1,8,38,9,8,53,78,3,2,6,0.2,0.307,0.307,0.614,0
Josh Jung,TEX,3B,721485.00,26,122,478,75,127,25,1,23,70,1,3,30,151,0,2,5,0.266,0.315,0.467,0.782,0
Alec Burleson,STL,OF,721450.00,25,107,315,34,77,20,1,8,36,3,1,23,45,1,2,3,0.244,0.3,0.39,0.69,0
Akil Baddoo,DET,OF,721300.00,25,112,312,40,68,13,1,11,34,14,3,42,89,2,1,0,0.218,0.31,0.372,0.682,0
Miles Mastrobuoni,CHC,3B,720500.00,28,61,133,24,32,5,0,1,5,13,1,13,32,3,0,0,0.241,0.308,0.301,0.609,0
Eguy Rosario,SD,3B,720400.00,24,11,36,6,9,1,1,2,6,0,0,1,12,0,0,0,0.25,0.27,0.5,0.77,0
Gabriel Arias,CLE,SS,720100.00,24,122,315,36,66,15,0,10,26,3,4,28,113,0,1,1,0.21,0.275,0.352,0.627,0
Alexander Canario,CHC,DH,720000.00,23,6,17,1,5,1,1,1,6,0,0,0,8,0,0,0,0.294,0.294,0.647,0.941,0
Alfonso Rivas,PIT,1B,720000.00,27,48,109,8,25,10,1,3,15,1,0,9,36,1,1,3,0.229,0.303,0.422,0.725,0
Andrew Velazquez,LAA,SS,720000.00,29,54,81,12,14,3,0,2,3,13,3,10,30,3,0,0,0.173,0.264,0.284,0.548,0
Andruw Monasterio,MIL,2B,720000.00,26,92,282,38,73,14,1,3,27,7,2,28,66,0,2,3,0.259,0.33,0.348,0.678,0
Anthony Volpe,NYY,SS,720000.00,22,159,541,62,113,23,4,21,60,24,5,52,167,1,2,5,0.209,0.283,0.383,0.666,0
Austin Wynns,COL,C,720000.00,33,51,130,11,27,6,0,1,10,1,0,9,39,3,1,2,0.208,0.268,0.277,0.545,0
Billy McKinney,NYY,OF,720000.00,29,48,128,19,29,3,1,6,14,1,0,17,39,0,1,1,0.227,0.32,0.406,0.726,0
Blake Perkins,MIL,OF,720000.00,27,67,143,28,31,7,0,4,20,5,2,23,46,2,0,0,0.217,0.325,0.35,0.675,0
Blake Rutherford,WAS,OF,720000.00,26,16,35,4,6,0,0,0,2,0,0,1,10,0,0,0,0.171,0.194,0.171,0.365,0
Blake Sabol,SF,C,720000.00,26,110,310,36,73,10,0,13,44,4,2,24,117,2,2,6,0.235,0.301,0.394,0.695,0
Bligh Madris,HOU,OF,720000.00,28,12,26,4,4,1,0,0,0,0,0,4,7,0,0,0,0.154,0.267,0.192,0.459,0
Bo Naylor,CLE,C,720000.00,24,67,198,33,47,13,0,11,32,5,0,30,53,0,1,1,0.237,0.339,0.47,0.809,0
Bobby Dalbec,BOS,1B,720000.00,28,21,49,6,10,2,0,1,1,1,0,4,28,0,0,0,0.204,0.264,0.306,0.57,0
Braden Shewmake,ATL,SS,720000.00,26,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brandon Dixon,SD,3B,720000.00,32,33,79,10,16,4,0,2,9,1,0,1,31,0,2,4,0.203,0.244,0.329,0.573,0
Brenton Doyle,COL,OF,720000.00,25,126,399,48,81,16,5,10,48,22,5,22,151,3,3,4,0.203,0.25,0.343,0.593,0
Brett Baty,NYM,3B,720000.00,24,108,353,41,75,12,0,9,34,2,0,29,109,1,1,2,0.212,0.275,0.323,0.598,0
Brett Sullivan,SD,C,720000.00,30,33,81,7,17,3,0,1,6,0,0,4,19,0,1,0,0.21,0.244,0.284,0.528,0
Brian O'Keefe,SEA,C,720000.00,30,8,19,0,2,2,0,0,2,0,0,2,7,0,0,0,0.105,0.19,0.211,0.401,0
Brice Turang,MIL,2B,720000.00,24,137,404,46,88,9,3,6,34,26,4,38,94,3,2,1,0.218,0.285,0.3,0.585,0
